fund_slug,description
sound-ventures,Investment activities in Israel (IL). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: sound-ventures.
justin-kan,"Investment activities in United States (US). Normal investments: 8. Lead investments: 0. Main sectors: Blockchain Service (25.0%), GameFi (25.0%), NFT (25.0%). Associated fund: justin-kan."
justin-kan,"Investment activities in Germany (DE). Normal investments: 1. Lead investments: 1. Main sectors: GameFi (50.0%), Chain (50.0%). Associated fund: justin-kan."
justin-kan,Investment activities in Canada (CA). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: justin-kan.
justin-kan,Investment activities in Estonia (EE). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: justin-kan.
justin-kan,Investment activities in Switzerland (CH). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: justin-kan.
justin-kan,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 0. Main sectors: Chain (100.0%). Associated fund: justin-kan.
acrew-capital,"Investment activities in United States (US). Normal investments: 8. Lead investments: 4. Main sectors: Blockchain Service (50.0%), CeFi (25.0%), GameFi (8.33%). Associated fund: acrew-capital."
acrew-capital,Investment activities in Canada (CA). Normal investments: 1. Lead investments: 0. Main sectors: NFT (100.0%). Associated fund: acrew-capital.
acrew-capital,Investment activities in Singapore (SG). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: acrew-capital.
acrew-capital,Investment activities in Switzerland (CH). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: acrew-capital.
acrew-capital,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: acrew-capital.
not-boring-capital,"Investment activities in United States (US). Normal investments: 10. Lead investments: 1. Main sectors: Blockchain Service (36.36%), DeFi (27.27%), NFT (18.18%). Associated fund: not-boring-capital."
not-boring-capital,Investment activities in Singapore (SG). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: not-boring-capital.
not-boring-capital,Investment activities in Switzerland (CH). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: not-boring-capital.
not-boring-capital,Investment activities in Vietnam (VN). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: not-boring-capital.
digifinex,Investment activities in South Korea (KR). Normal investments: 1. Lead investments: 0. Main sectors: NFT (100.0%). Associated fund: digifinex.
cyber-x,Investment activities in Japan (JP). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: cyber-x.
cyber-x,Investment activities in Singapore (SG). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: cyber-x.
cyber-x,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: cyber-x.
rok-capital,"Investment activities in Singapore (SG). Normal investments: 3. Lead investments: 0. Main sectors: DeFi (66.67%), Blockchain Service (33.33%). Associated fund: rok-capital."
rok-capital,"Investment activities in United States (US). Normal investments: 3. Lead investments: 0. Main sectors: GameFi (33.33%), CeFi (33.33%), Chain (33.33%). Associated fund: rok-capital."
rok-capital,Investment activities in South Korea (KR). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: rok-capital.
rok-capital,Investment activities in Portugal (PT). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: rok-capital.
rok-capital,Investment activities in Hong Kong (HK). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: rok-capital.
rok-capital,Investment activities in Seychelles (SC). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: rok-capital.
rok-capital,Investment activities in Puerto Rico (PR). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: rok-capital.
rok-capital,Investment activities in Indonesia (ID). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: rok-capital.
bogazici-ventures,Investment activities in Switzerland (CH). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: bogazici-ventures.
bogazici-ventures,Investment activities in Turkey (TR). Normal investments: 0. Lead investments: 1. Main sectors: GameFi (100.0%). Associated fund: bogazici-ventures.
eniac-ventures,"Investment activities in United States (US). Normal investments: 15. Lead investments: 0. Main sectors: Blockchain Service (46.67%), NFT (20.0%), Social (6.67%). Associated fund: eniac-ventures."
eniac-ventures,Investment activities in Switzerland (CH). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: eniac-ventures.
eniac-ventures,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Infrastructure (100.0%). Associated fund: eniac-ventures.
dexterity-capital,Investment activities in Singapore (SG). Normal investments: 1. Lead investments: 2. Main sectors: DeFi (100.0%). Associated fund: dexterity-capital.
dexterity-capital,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: dexterity-capital.
pixel-vault,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: NFT (100.0%). Associated fund: pixel-vault.
token-pocket,Investment activities in Antigua and Barbuda (AG). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: token-pocket.
token-pocket,Investment activities in Singapore (SG). Normal investments: 0. Lead investments: 1. Main sectors: Social (100.0%). Associated fund: token-pocket.
ryan-adams,"Investment activities in United States (US). Normal investments: 9. Lead investments: 1. Main sectors: Blockchain Service (40.0%), DeFi (40.0%), Social (10.0%). Associated fund: ryan-adams."
ryan-adams,"Investment activities in India (IN). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (50.0%), Blockchain Infrastructure (50.0%). Associated fund: ryan-adams."
ryan-adams,Investment activities in Israel (IL). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: ryan-adams.
ryan-adams,Investment activities in Australia (AU). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: ryan-adams.
ryan-adams,Investment activities in Singapore (SG). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: ryan-adams.
ryan-adams,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: ryan-adams.
ryan-adams,Investment activities in Portugal (PT). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: ryan-adams.
ryan-adams,Investment activities in Estonia (EE). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: ryan-adams.
unanimous-capital,"Investment activities in United States (US). Normal investments: 3. Lead investments: 0. Main sectors: Blockchain Service (33.33%), GameFi (33.33%), Chain (33.33%). Associated fund: unanimous-capital."
unanimous-capital,"Investment activities in Hong Kong (HK). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (50.0%), DeFi (50.0%). Associated fund: unanimous-capital."
unanimous-capital,Investment activities in South Korea (KR). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: unanimous-capital.
unanimous-capital,Investment activities in Singapore (SG). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: unanimous-capital.
unanimous-capital,Investment activities in Spain (ES). Normal investments: 1. Lead investments: 0. Main sectors: Social (100.0%). Associated fund: unanimous-capital.
unanimous-capital,Investment activities in Sweden (SE). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: unanimous-capital.
unanimous-capital,Investment activities in Vietnam (VN). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: unanimous-capital.
unanimous-capital,Investment activities in India (IN). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: unanimous-capital.
10t-fund,"Investment activities in United States (US). Normal investments: 5. Lead investments: 3. Main sectors: Blockchain Service (25.0%), Blockchain Infrastructure (25.0%), Social (12.5%). Associated fund: 10t-fund."
10t-fund,"Investment activities in Hong Kong (HK). Normal investments: 4. Lead investments: 0. Main sectors: Others (75.0%), DeFi (25.0%). Associated fund: 10t-fund."
10t-fund,Investment activities in France (FR). Normal investments: 1. Lead investments: 1. Main sectors: Blockchain Service (100.0%). Associated fund: 10t-fund.
10t-fund,"Investment activities in Canada (CA). Normal investments: 1. Lead investments: 1. Main sectors: NFT (50.0%), CeFi (50.0%). Associated fund: 10t-fund."
10t-fund,Investment activities in Brazil (BR). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: 10t-fund.
10t-fund,Investment activities in Panama (PA). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: 10t-fund.
10t-fund,Investment activities in United Kingdom (GB). Normal investments: 0. Lead investments: 1. Main sectors: DeFi (100.0%). Associated fund: 10t-fund.
at-capital,"Investment activities in Singapore (SG). Normal investments: 7. Lead investments: 2. Main sectors: Blockchain Service (33.33%), GameFi (22.22%), DeFi (22.22%). Associated fund: at-capital."
at-capital,"Investment activities in United States (US). Normal investments: 6. Lead investments: 1. Main sectors: Blockchain Service (28.57%), GameFi (28.57%), NFT (28.57%). Associated fund: at-capital."
at-capital,"Investment activities in China (CN). Normal investments: 2. Lead investments: 1. Main sectors: Blockchain Service (33.33%), GameFi (33.33%), CeFi (33.33%). Associated fund: at-capital."
at-capital,Investment activities in Thailand (TH). Normal investments: 2. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: at-capital.
at-capital,"Investment activities in Germany (DE). Normal investments: 1. Lead investments: 1. Main sectors: Blockchain Service (50.0%), GameFi (50.0%). Associated fund: at-capital."
at-capital,Investment activities in Nigeria (NG). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: at-capital.
at-capital,Investment activities in Japan (JP). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: at-capital.
at-capital,Investment activities in UAE (AE). Normal investments: 0. Lead investments: 1. Main sectors: NFT (100.0%). Associated fund: at-capital.
at-capital,Investment activities in British Virgin Islands (VG). Normal investments: 0. Lead investments: 1. Main sectors: DeFi (100.0%). Associated fund: at-capital.
wemade,"Investment activities in South Korea (KR). Normal investments: 2. Lead investments: 1. Main sectors: Blockchain Service (66.67%), DeFi (33.33%). Associated fund: wemade."
wemade,"Investment activities in United States (US). Normal investments: 3. Lead investments: 0. Main sectors: Blockchain Service (66.67%), GameFi (33.33%). Associated fund: wemade."
wemade,"Investment activities in Japan (JP). Normal investments: 1. Lead investments: 1. Main sectors: GameFi (50.0%), CeFi (50.0%). Associated fund: wemade."
wemade,Investment activities in Hong Kong (HK). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: wemade.
wemade,Investment activities in Singapore (SG). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: wemade.
wemade,Investment activities in Switzerland (CH). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: wemade.
35ventures,"Investment activities in United States (US). Normal investments: 7. Lead investments: 0. Main sectors: Blockchain Service (42.86%), CeFi (28.57%), Social (14.29%). Associated fund: 35ventures."
35ventures,Investment activities in Canada (CA). Normal investments: 1. Lead investments: 0. Main sectors: Social (100.0%). Associated fund: 35ventures.
35ventures,Investment activities in France (FR). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: 35ventures.
kevin-durant,"Investment activities in United States (US). Normal investments: 5. Lead investments: 0. Main sectors: NFT (80.0%), Social (20.0%). Associated fund: kevin-durant."
vayner-fund,"Investment activities in United States (US). Normal investments: 15. Lead investments: 0. Main sectors: NFT (53.33%), Blockchain Service (26.67%), GameFi (6.67%). Associated fund: vayner-fund."
vayner-fund,Investment activities in Australia (AU). Normal investments: 1. Lead investments: 0. Main sectors: Chain (100.0%). Associated fund: vayner-fund.
vayner-fund,Investment activities in France (FR). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: vayner-fund.
vayner-fund,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: vayner-fund.
vayner-fund,Investment activities in Vietnam (VN). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: vayner-fund.
eldridge,"Investment activities in United States (US). Normal investments: 0. Lead investments: 5. Main sectors: Social (40.0%), Blockchain Service (20.0%), DeFi (20.0%). Associated fund: eldridge."
eldridge,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: eldridge.
westcap,"Investment activities in United States (US). Normal investments: 2. Lead investments: 2. Main sectors: Blockchain Service (50.0%), GameFi (50.0%). Associated fund: westcap."
westcap,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: westcap.
accenture,"Investment activities in United States (US). Normal investments: 3. Lead investments: 0. Main sectors: DeFi (66.67%), Currency (33.33%). Associated fund: accenture."
accenture,Investment activities in Brazil (BR). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: accenture.
second-live,Investment activities in Canada (CA). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: second-live.
tally-capital,"Investment activities in United States (US). Normal investments: 3. Lead investments: 0. Main sectors: Blockchain Service (33.33%), Blockchain Infrastructure (33.33%), NFT (33.33%). Associated fund: tally-capital."
tally-capital,Investment activities in Switzerland (CH). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: tally-capital.
ms-ad-ventures,Investment activities in Liechtenstein (LI). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: ms-ad-ventures.
ms-ad-ventures,Investment activities in Singapore (SG). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: ms-ad-ventures.
opensea-ventures,"Investment activities in United States (US). Normal investments: 24. Lead investments: 1. Main sectors: Blockchain Service (52.0%), NFT (20.0%), GameFi (8.0%). Associated fund: opensea-ventures."
opensea-ventures,"Investment activities in India (IN). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (50.0%), Blockchain Infrastructure (50.0%). Associated fund: opensea-ventures."
opensea-ventures,"Investment activities in United Kingdom (GB). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Infrastructure (50.0%), NFT (50.0%). Associated fund: opensea-ventures."
opensea-ventures,Investment activities in Canada (CA). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Infrastructure (100.0%). Associated fund: opensea-ventures.
opensea-ventures,Investment activities in Colombia (CO). Normal investments: 1. Lead investments: 0. Main sectors: NFT (100.0%). Associated fund: opensea-ventures.
opensea-ventures,Investment activities in Japan (JP). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: opensea-ventures.
dcvc,"Investment activities in United States (US). Normal investments: 5. Lead investments: 1. Main sectors: Blockchain Service (66.67%), Social (16.67%), Chain (16.67%). Associated fund: dcvc."
dcvc,Investment activities in Hong Kong (HK). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: dcvc.
magic-eden,"Investment activities in United States (US). Normal investments: 5. Lead investments: 0. Main sectors: GameFi (60.0%), Social (20.0%), DeFi (20.0%). Associated fund: magic-eden."
magic-eden,Investment activities in Finland (FI). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: magic-eden.
magic-eden,Investment activities in South Korea (KR). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: magic-eden.
blue-pool-capital,"Investment activities in United States (US). Normal investments: 3. Lead investments: 0. Main sectors: GameFi (66.67%), DeFi (33.33%). Associated fund: blue-pool-capital."
blue-pool-capital,"Investment activities in Hong Kong (HK). Normal investments: 1. Lead investments: 1. Main sectors: Social (50.0%), Others (50.0%). Associated fund: blue-pool-capital."
blue-pool-capital,Investment activities in India (IN). Normal investments: 1. Lead investments: 0. Main sectors: Chain (100.0%). Associated fund: blue-pool-capital.
eclipse,"Investment activities in United States (US). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (50.0%), GameFi (50.0%). Associated fund: eclipse."
nchain-group,Investment activities in United States (US). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: nchain-group.
trail-mix-ventures,Investment activities in United States (US). Normal investments: 0. Lead investments: 1. Main sectors: Blockchain Service (100.0%). Associated fund: trail-mix-ventures.
extra-watts,"Investment activities in Singapore (SG). Normal investments: 3. Lead investments: 0. Main sectors: DeFi (66.67%), Social (33.33%). Associated fund: extra-watts."
extra-watts,Investment activities in United Kingdom (GB). Normal investments: 2. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: extra-watts.
overwolf,Investment activities in Germany (DE). Normal investments: 2. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: overwolf.
overwolf,Investment activities in Israel (IL). Normal investments: 1. Lead investments: 1. Main sectors: GameFi (100.0%). Associated fund: overwolf.
overwolf,Investment activities in Thailand (TH). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: overwolf.
overwolf,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: overwolf.
greycroft,"Investment activities in United States (US). Normal investments: 9. Lead investments: 4. Main sectors: CeFi (53.85%), NFT (23.08%), Blockchain Service (15.38%). Associated fund: greycroft."
greycroft,Investment activities in Australia (AU). Normal investments: 1. Lead investments: 1. Main sectors: Blockchain Service (100.0%). Associated fund: greycroft.
greycroft,Investment activities in Kenya (KE). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: greycroft.
felix-capital,Investment activities in United States (US). Normal investments: 3. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: felix-capital.
felix-capital,Investment activities in France (FR). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: felix-capital.
afore-capital,"Investment activities in United States (US). Normal investments: 3. Lead investments: 0. Main sectors: CeFi (66.67%), Blockchain Service (33.33%). Associated fund: afore-capital."
0xventures,"Investment activities in United States (US). Normal investments: 8. Lead investments: 0. Main sectors: DeFi (62.5%), Blockchain Service (25.0%), GameFi (12.5%). Associated fund: 0xventures."
0xventures,"Investment activities in Australia (AU). Normal investments: 4. Lead investments: 0. Main sectors: DeFi (50.0%), Blockchain Service (25.0%), GameFi (25.0%). Associated fund: 0xventures."
0xventures,"Investment activities in Singapore (SG). Normal investments: 3. Lead investments: 0. Main sectors: DeFi (66.67%), Blockchain Service (33.33%). Associated fund: 0xventures."
0xventures,"Investment activities in Switzerland (CH). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (50.0%), Blockchain Infrastructure (50.0%). Associated fund: 0xventures."
0xventures,Investment activities in France (FR). Normal investments: 1. Lead investments: 0. Main sectors: NFT (100.0%). Associated fund: 0xventures.
0xventures,Investment activities in Hong Kong (HK). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: 0xventures.
0xventures,Investment activities in Italy (IT). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: 0xventures.
0xventures,Investment activities in Japan (JP). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: 0xventures.
0xventures,Investment activities in Romania (RO). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Infrastructure (100.0%). Associated fund: 0xventures.
0xventures,Investment activities in UAE (AE). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: 0xventures.
0xventures,Investment activities in Cayman Islands (KY). Normal investments: 1. Lead investments: 0. Associated fund: 0xventures.
0xventures,Investment activities in Canada (CA). Normal investments: 1. Lead investments: 0. Associated fund: 0xventures.
0xventures,Investment activities in Denmark (DK). Normal investments: 1. Lead investments: 0. Associated fund: 0xventures.
gener8tor,Investment activities in United States (US). Normal investments: 1. Lead investments: 2. Main sectors: Social (100.0%). Associated fund: gener8tor.
cgu,Investment activities in Australia (AU). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: cgu.
cgu,Investment activities in Canada (CA). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: cgu.
cgu,Investment activities in Singapore (SG). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: cgu.
cgu,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: cgu.
welight-capital,Investment activities in Hong Kong (HK). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: welight-capital.
newark-venture-partners,"Investment activities in United States (US). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (50.0%), CeFi (50.0%). Associated fund: newark-venture-partners."
p12-project-twelve,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: p12-project-twelve.
earlybird-venture-capital,"Investment activities in Germany (DE). Normal investments: 4. Lead investments: 3. Main sectors: DeFi (42.86%), Blockchain Service (28.57%), CeFi (28.57%). Associated fund: earlybird-venture-capital."
earlybird-venture-capital,Investment activities in Switzerland (CH). Normal investments: 1. Lead investments: 1. Main sectors: DeFi (100.0%). Associated fund: earlybird-venture-capital.
earlybird-venture-capital,Investment activities in Spain (ES). Normal investments: 0. Lead investments: 1. Main sectors: NFT (100.0%). Associated fund: earlybird-venture-capital.
earlybird-venture-capital,Investment activities in United Kingdom (GB). Normal investments: 0. Lead investments: 1. Main sectors: DeFi (100.0%). Associated fund: earlybird-venture-capital.
bond-capital,"Investment activities in United States (US). Normal investments: 4. Lead investments: 1. Main sectors: NFT (60.0%), CeFi (40.0%). Associated fund: bond-capital."
bond-capital,Investment activities in Canada (CA). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Infrastructure (100.0%). Associated fund: bond-capital.
bond-capital,Investment activities in Mexico (MX). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: bond-capital.
bond-capital,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 0. Main sectors: Others (100.0%). Associated fund: bond-capital.
homewbrew,Investment activities in United States (US). Normal investments: 5. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: homewbrew.
derbit,Investment activities in Netherlands (NL). Normal investments: 0. Lead investments: 1. Main sectors: CeFi (100.0%). Associated fund: derbit.
derbit,Investment activities in Singapore (SG). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: derbit.
bpea-eqt,Investment activities in Canada (CA). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Infrastructure (100.0%). Associated fund: bpea-eqt.
olympusdao,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: olympusdao.
social-capital,"Investment activities in United States (US). Normal investments: 9. Lead investments: 4. Main sectors: Blockchain Service (38.46%), Social (15.38%), Chain (15.38%). Associated fund: social-capital."
social-capital,"Investment activities in Hong Kong (HK). Normal investments: 3. Lead investments: 0. Main sectors: NFT (66.67%), DeFi (33.33%). Associated fund: social-capital."
social-capital,Investment activities in Nigeria (NG). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: social-capital.
diogo-monica,"Investment activities in United States (US). Normal investments: 8. Lead investments: 0. Main sectors: Blockchain Service (62.5%), DeFi (25.0%), CeFi (12.5%). Associated fund: diogo-monica."
diogo-monica,Investment activities in Canada (CA). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: diogo-monica.
diogo-monica,Investment activities in India (IN). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: diogo-monica.
diogo-monica,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: diogo-monica.
capricorn-investment,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: capricorn-investment.
jetblue-ventures,Investment activities in United States (US). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: jetblue-ventures.
streamingfast,Investment activities in Canada (CA). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: streamingfast.
streamingfast,"Investment activities in United States (US). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (50.0%), Blockchain Infrastructure (50.0%). Associated fund: streamingfast."
another-world,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: another-world.
stacks,"Investment activities in United States (US). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (50.0%), NFT (50.0%). Associated fund: stacks."
stacks,Investment activities in Czech Republic (CZ). Normal investments: 0. Lead investments: 1. Main sectors: DeFi (100.0%). Associated fund: stacks.
benchmark,Investment activities in United States (US). Normal investments: 3. Lead investments: 1. Main sectors: Blockchain Service (100.0%). Associated fund: benchmark.
benchmark,Investment activities in France (FR). Normal investments: 0. Lead investments: 1. Main sectors: GameFi (100.0%). Associated fund: benchmark.
benchmark,Investment activities in Gibraltar (GI). Normal investments: 0. Lead investments: 1. Main sectors: Blockchain Service (100.0%). Associated fund: benchmark.
atreides-management,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Others (100.0%). Associated fund: atreides-management.
sony-financial-ventures,"Investment activities in United States (US). Normal investments: 4. Lead investments: 1. Main sectors: Others (80.0%), NFT (20.0%). Associated fund: sony-financial-ventures."
sony-financial-ventures,Investment activities in Germany (DE). Normal investments: 0. Lead investments: 1. Main sectors: DeFi (100.0%). Associated fund: sony-financial-ventures.
amazon-alexa-fund,"Investment activities in United States (US). Normal investments: 1. Lead investments: 1. Main sectors: Blockchain Service (50.0%), NFT (50.0%). Associated fund: amazon-alexa-fund."
scribble-ventures,"Investment activities in United States (US). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (50.0%), NFT (50.0%). Associated fund: scribble-ventures."
kering,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: NFT (100.0%). Associated fund: kering.
pictet-asset-management,Investment activities in China (CN). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: pictet-asset-management.
pictet-asset-management,Investment activities in Switzerland (CH). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: pictet-asset-management.
pictet-asset-management,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: pictet-asset-management.
telos,Investment activities in Singapore (SG). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: telos.
telos,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 0. Main sectors: NFT (100.0%). Associated fund: telos.
bbva,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: bbva.
national-australia-bank,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: national-australia-bank.
natwest,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: natwest.
blume-ventures,"Investment activities in India (IN). Normal investments: 3. Lead investments: 1. Main sectors: Blockchain Service (25.0%), Social (25.0%), DeFi (25.0%). Associated fund: blume-ventures."
blume-ventures,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: blume-ventures.
mozilla,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: mozilla.
