Category,Question,YAKE Keywords,Severity Score,Variations
Technical,How frequently are smart contract & protocol risks controls audited or reviewed?,"risks controls audited, controls audited reviewed, controls audited",,[]
Technical,What are the best practices followed in the domain of smart contract & protocol risks?,"contract protocol risks, protocol risks, best practices",,[]
Technical,What red flags should be monitored in terms of smart contract & protocol risks?,"contract protocol risks, protocol risks, red flags monitored",,[]
Technical,What benchmarks are used to evaluate smart contract & protocol risks success?,"benchmarks used evaluate, benchmarks used, protocol risks success",,[]
Auditability,Are third-party evaluations available for technical integrity?,"available technical integrity, technical integrity, evaluations available technical",,['Are third-party evaluations of data integrity made publicly available to stakeholders?']
Financial,Are third-party evaluations available for valuation & verification?,"available valuation verification, evaluations available valuation, valuation verification",,[]
Financial,To what extent does valuation & verification influence investor confidence?,"investor confidence, influence investor confidence, valuation verification influence",,[]
Financial,How do global standards or laws impact valuation & verification policies?,"global standards laws, valuation verification policies, laws impact valuation",,[]
Financial,What are the best practices followed in the domain of valuation & verification?,"valuation verification, domain valuation verification, domain valuation",,[]
Financial,How does the team respond to issues arising in valuation & verification?,"issues arising valuation, valuation verification, arising valuation verification",,[]
Financial,Is there regulatory guidance applicable to valuation & verification?,"applicable valuation verification, valuation verification, guidance applicable valuation",,[]
Financial,What transparency measures are in place for valuation & verification?,"transparency measures, valuation verification, transparency measures place",,[]
Financial,What technologies or protocols are used to handle valuation & verification?,"handle valuation verification, valuation verification, handle valuation",,[]
Financial,Who is responsible for overseeing valuation & verification in the project?,"responsible overseeing valuation, overseeing valuation verification, overseeing valuation",,[]
Financial,How frequently are valuation & verification controls audited or reviewed?,"verification controls audited, valuation verification controls, controls audited reviewed",,[]
Financial,Are stakeholders involved in decisions about valuation & verification?,"stakeholders involved decisions, involved decisions valuation, decisions valuation verification",,[]
Financial,What red flags should be monitored in terms of valuation & verification?,"valuation verification, red flags monitored, monitored terms valuation",,[]
Financial,Has the project published disclosures related to valuation & verification?,"disclosures related valuation, project published disclosures, published disclosures",,[]
Financial,How are risks within valuation & verification identified and mitigated?,"risks valuation verification, risks valuation, valuation verification identified",,[]
Financial,How is performance in valuation & verification tracked and reported?,"valuation verification tracked, performance valuation verification, performance valuation",,[]
Financial,What benchmarks are used to evaluate valuation & verification success?,"valuation verification success, evaluate valuation verification, benchmarks used evaluate",,[]
Reputational and Strategic,"Are there any known affiliations with past failed, fraudulent, or controversial projects?",,,"['Are there any known affiliations with past failed, fraudulent or controversial projects?', 'Are there any known affiliations with failed, fraudulent or controversial projects ?', 'Exist any known affiliations with past failed, bogus or controversial projects?']"
Reputational and Strategic,"Is the team fully doxxed, and are background checks available or verified?",,,"['Is the team fully doxxed and are background checks available or verified?', 'Is the team fully doxxed and are background checks available or can they be verified?', 'Is the team fully doxxed, and are background checks available - or verified ?']"
Reputational and Strategic,"What environmental impact does the projects blockchain have (e.g., energy consumption, carbon footprint)?",,,"['What environmental impact do project blockchains (e.g., energy consumption, carbon footprint) have ?', 'What environmental impact does the projects blockchain (e.g., consumption of energy, carbon footprint) have?', 'What environmental impact does the Ethereum projects can have (e.g., energy consumption, carbon footprint)?']"
Reputational and Strategic,Does the project follow ESG best practices and report on sustainability efforts?,,,"['Does the project follow ESG best practices and report sustainable efforts?', 'Follows it in the project the best practices of ESG and records sustainability efforts?', 'Do the project follow best practices in ESG and report sustainability efforts?']"
Reputational and Strategic,Are there initiatives supporting social inclusion or ethical governance?,,,"['Are initiatives for social inclusion or ethical governance there?', 'Are there initiatives that support social inclusion or ethical governance?', 'Are there initiatives supported by social inclusion or are there ethical governance programs?']"
Reputational and Strategic,Do the founders or team members maintain transparency in online and real-world identity?,,,"['Do the founders or team members maintain transparency online and offline ? or', 'Are the founders or team members keeping the transparency in the online and real world identity?', 'Do founders or team members maintain transparency in online and real-world identity?']"
Reputational and Strategic,Have any team members been subject to legal action or regulatory scrutiny?,,,"['Have any team members faced law enforcement or regulatory scrutiny?', 'Have any members of the team been subject to legal action or regulatory scrutiny?', ' Have any team members been subject to legal action or a regulatory scrutiny?']"
Reputational and Strategic,"Are the advisors truly involved, or are they added for marketing clout only?",,,"['Are the advisors really involved in the market or are they added only for marketing?', 'Are the advisors truly involved or are they added only for marketing clout ?']"
Reputational and Strategic,Is there a conflict of interest between the project and its investors or backers?,,,"['Is there a conflict of interest between the project and the investors or the backers?', 'Is there a conflict of interest between the project and the investors or backers ?', 'Is there a conflict of interest between the project and its investors or backers ?']"
Reputational and Strategic,Has the project conducted any formal ESG assessments or audits?,,,"['Has the project performed any formal ESG assessments or audits?', 'Has the project conducted formal ESG assessments or audits?', 'Has the project conducted any formal ESG assessments or audits?']"
Reputational and Strategic,Does the governance framework encourage inclusivity and community voice?,,,"['Does the governance framework encourage inclusion and community voice?', 'Does the governance framework promote inclusivity and community participation?']"
Reputational and Strategic,Are there commitments or donations to environmental or social initiatives?,,,"['Do there have to be commitments or contributions to environmental or social initiatives?', 'Are there commitments or donations to environmental or social initiatives?']"
Reputational and Strategic,Are there any whistleblower protections or ethics guidelines for internal actors?,,,"['Exist any whistleblower protections or ethics guidelines for internal actors ?', 'Exist any whistleblower protections or ethics guidelines for internal actors?', 'Exist whistleblower protections or ethical guidelines for internal actors ?']"
Legal and Compliance,Has a legal opinion been issued regarding whether the token is a security?,,,"['Unveiled any legal opinion regarding whether the token is a security ?', 'Has a legal opinion been issued regarding whether the token is a security?', 'Has a legal opinion been issued regarding whether such token is a security ?']"
Legal and Compliance,Has the project been reviewed using frameworks like the Howey Test or MiCA?,,,"['Has the project been reviewed using frameworks such as the Howey test or MiCA ?', 'Has the project been re-examined using frameworks such as the Howey Test or MiCA ?', 'Has the project been reviewed using frameworks such as Howey Test or MiCA ?']"
Legal and Compliance,Are there any risks of future classification changes by regulators?,,,"['Are there any potential risks of future classification changes by regulators?', 'Are there any future risks of future classification changes by regulators?', 'Is there any risk of future classification changes by regulators ?']"
Legal and Compliance,Does the project comply with AML/KYC standards in all active jurisdictions?,,,"['Does the project meet the AML/KYC standards in all actively governed areas?', 'Is the project in all active jurisdictions complies with AML / KYC standards ?', 'Does the project comply with AML/KYC standards in all active jurisdictions?']"
Legal and Compliance,Are there systems in place for regulatory reporting and audits?,,,"['Exist systems for compliance reports and audits?', 'Are there systems for regulatory reporting and audits in place?', 'Are there systems in place for regulatory reporting and audits?']"
Legal and Compliance,How does the entity stay updated with evolving crypto legislation?,,,"['How does the entity stay updated with updated crypto legislation ?', 'How does an entity stay informed of evolving crypto-laws?', 'How does the entity stay current with evolving crypto laws?']"
Legal and Compliance,Are any team members or wallets linked to previous illicit activity?,,,"['Are team members or wallets linked to previous illicit activity?', 'Are any team members or wallets linked to previous illegal activities?', 'Are any team members or wallets linked to previous illicit activity?']"
Legal and Compliance,What on-chain analytics tools are used to detect and prevent criminal behavior?,,,"['Was used on-chain analytics tools to detect and prevent criminal behavior?', 'What On-Cross Analytics Tools are used to detect & prevent  criminal behavior  ?', 'What analytics tools are used in the on-chain to detect and prevent crime behaviors ?']"
Legal and Compliance,Has the project ever been flagged or investigated by a regulatory body?,,,"['Has the project ever been flagged or investigated by a regulatory body ?', 'Has the project ever been flagged or investigated by a regulatory body?']"
Legal and Compliance,Has the token been flagged or banned in any jurisdictions?,,,"['Has the token been flagged or banned in other jurisdictions?', 'Has the token been flagged or banned in any jurisdictions?', 'Has the token been flagged or banned in any jurisdictions ?']"
Legal and Compliance,"Is the token accessible in countries with restrictive securities laws (e.g., USA, China)?",,,"['Is the token accessible in any countries with restrictive securities laws (e.g., the USA, China )?', 'Is the token accessible in countries with restrictive securities laws (e.g., USA, China) ?', 'Is the token accessible in countries with restrictive securities laws (e.g. the USA, China) ?']"
Legal and Compliance,Are there disclosures in place for users regarding investment risks?,,,"['Are disclosures in place for users in relation to investment opportunities?', 'Are disclosures in place for users regarding financial risks?', 'Are there disclosures for users about investment risks in place?']"
Legal and Compliance,Has the project received any informal guidance from regulators?,,,"['Has the project received any informal guidance from the regulation?', 'Has received any informal guidance from the regulators?', 'Has the project received any informal help from the regulators?']"
Legal and Compliance,Are there regular compliance audits or reports published?,,,"['Are there regular compliance audits or reports published?', 'Are regular compliance audits or reports issued?', 'For example, are regular compliance audits or reports published?']"
Legal and Compliance,"Is a Chief Compliance Officer (CCO) appointed, or is compliance outsourced?",,,"['Is a Chief Compliance Officer (CCO) appointed or is compliance outsourced?', 'Is a Chief Compliance Officer (CCO) appointed or is outsourcing outsourcing of compliance ?', 'Is a Chief Compliance Officer (CCO) appointed , or is compliance outsourced to a third party?']"
Legal and Compliance,Does the protocol geo-block certain regions to comply with local laws?,,,"['Does the protocol isolate certain regions according to local laws?', 'Does the Protocol block certain regions to comply with local laws?', 'Does the Protocol geo-block certain regions to comply with local laws?']"
Legal and Compliance,How are sanctions-screened addresses or high-risk users handled?,,,"['How are high-risk addresses or high-risk users dealt with?', 'How are sanctions-screened addresses or high-risk users handled ?', 'How are sanctions directed addresses or high risk users treated?']"
Legal and Compliance,"What partnerships exist with compliance providers (e.g., Chainalysis, TRM Labs)?",,,"['What partnerships exist with compliance providers (e.g., Chainalysis, TRM Labs)?', 'What partnerships exist with compliance providers (e.g., Chainalysis, TRM Labs )?']"
Legal and Compliance,Has the projects token ever been used in darknet or sanctioned activities?,,,"['Has the project token ever been used in darknet or sanctioned activities?', 'Has the token of the project ever been used in darknet or sanctioned activities?', 'Has the project token ever been used or sanctioned in darknet activities?']"
Legal and Compliance,"Are there KYC thresholds for transaction amounts, or is KYC mandatory?",,,"['Are there KYC - thresholds for amount transactions or is KYC mandatory?', 'Are KYC thresholds for transaction amounts or KYC is mandatory?', 'Are KYC thresholds for transactions or is KYC mandatory?']"
Legal and Compliance,Has the project engaged law enforcement in past incidents?,,,"['Has the project involved law enforcement in past incidents?', 'Has the project involved the law enforcement in past incidents?', 'Has the project engaged law enforcement in past incidents?']"
Cybersecurity,What cybersecurity frameworks and best practices are implemented?,,,"['What cybersecurity frameworks and best practices are implemented?', 'What cybersecurity frameworks and how best practices are implementing?', 'What security frameworks and best practices are implemented?']"
Cybersecurity,Has the system undergone penetration testing or received a security certification?,,,"['Has the system undergone penetration tests or received a security certification?', 'Has the system been tested or received a security certification after penetration tests?', 'Has the system passed penetration testing or received a security certification?']"
Cybersecurity,"How are critical assets and user funds protected against hacks, including key management?",,,"['How are critical resources and user funds protected against hacks, including key management?', 'How are critical assets and user funds protected from hacker attacks, including key management?', 'How are critical assets and user funds protected against hacking, including key management?']"
Cybersecurity,Are private keys stored via HSMs (hardware security modules) or other enterprise-grade tools?,,,"['Security modules are private keys stored via HSMs (hardware security modules) or other enterprise-grade tools ?', ' private keys are stored via HSMs (hardware security modules) or other enterprise-grade tools ?', 'Private keys are stored via HSMs (hardware security modules) or other enterprise tools ?']"
Cybersecurity,What protocols are in place for admin key compromise or unauthorized access?,,,"['What protocols are in place for admin key compromise or unauthorized access?', 'What protocols are in place for the administrator key or unauthorized access?']"
Cybersecurity,Is multi-factor authentication enforced for sensitive system access?,,,"['Is multi-factor authentication enforced for sensitive system access?', 'Is multi-factor authentication enforced for sensitive system access ?', 'Multifactor authentication is enforced for sensitive system access?']"
Cybersecurity,How quickly does the team patch zero-day vulnerabilities or exploits?,,,"['How quickly patches the Zero-Day vulnerabilities or exploits the team?', 'How quickly patches the team zero-day vulnerabilities or exploits?', 'How quickly patches Zero-Day vulnerabilities or exploits the team?']"
Auditability,Have financial and technical audits been conducted by reputable third parties?,,,"['Have financial and technical audits been conducted by reputable third parties?', 'Was financial and technical audit conducted by reputable third parties?']"
Auditability,Are audit results publicly disclosed and updated regularly?,,,"['Are audit results publicly known and regularly updated?', 'Are the audit results freely disclosed and updated regularly?', 'Are the Audit results publicly known and updated regularly?']"
Auditability,"Is ownership of code, IP, and token distribution clearly verifiable and traceable?",,,"['Is the value of code, IP and token distribution clearly verifiable and traceable?', 'Is the ownership of code, their IP and token distribution clearly verifiable and tracable?', 'Is clearly verifiable and tracetable the ownership of the code, IP and token distribution ?']"
Auditability,"What audit firms have been engaged, and what were their findings?",,,"['What audit firms were engaged in and what were their findings ?', 'What audit companies have been engaged and what were their findings?', 'Which consulting firms have been engaged to and what were the findings of them']"
Auditability,Is there a historical record of audits over multiple versions/releases?,,,"['Exists a historical record of audits to date over multiple versions/releases ?', 'Is there a historical record of audits over multiple versions/releases?', 'Existe a historical record of audits of different versions/releases?']"
Auditability,Is IP ownership centralized or distributed among DAO or contributors?,,,"[' Is the IP ownership centralized or distributed among DAO or contributors ?', 'Is intellectual property centralized or distributed among DAO or contributors?', 'Is IP ownership centralized or distributed among the contributors or DAO ?']"
Cybersecurity,"Who is responsible for securing private keys, and what is their background and experience?",,,"['Who is responsible for the safeguarding of private keys and what is their background and experience?', 'Who is responsible for the safe keeping of private keys and what is their background and experience?', 'Who is responsible for securing private keys and what is their background and experience?']"
Cybersecurity,"Are private keys secured using HSMs, MPC, or air-gapped cold storage?",,,"['Guard private keys with HSMs, MPCs or air-gapped cold storage?', 'Are private keys secured using HSMs, MPCs or air-gapped cold storage ?', 'Are private keys secured using HSMs, MPCs or cold storage air-gapped?']"
Cybersecurity,"Has the custodian provided a Type II SOC report on controls, and are exceptions disclosed?",,,"['Has the custodian provided a SOC report on controls of type II , and are exceptions disclosed?', 'Has the Custodian provided a type II SOC report on controls and are exceptions disclosed ?', 'Has the custodian provided a type II SOC report on controls and are exemptions disclosed?']"
Cybersecurity,"What is the process for private key access, and does it require dual control or multi-factor authentication?",,,"['What is the process for the private key access and does it require dual control or multi-factor authentication ?', 'What is the procedure for private key access and does it require dual control or multi-factor authentication?', 'What is the process for creating the private key and does it require dual control or multi-factor authentication?']"
Cybersecurity,Does the custodian support proof-of-existence or auditability for wallets on demand?,,,"['Supports the custodian proof-of-existence or auditability for wallets on demand?', 'Does the repository support proof-of-existence or auditability for wallets on demand ?', 'Does the custodian support proof-of-existence or auditability for wallets on demand?']"
Cybersecurity,"For self-custody: are internal policies and segregated infrastructure in place, and are controls independently verified?",,,"['For self-management: are internal policies and segregated infrastructure operative , and are controls independently verified?', 'For self-custody: are internal policies and segregated infrastructure in place and are controls independently verified?', 'Self-custody is : internal policies and segregated infrastructure in place are the controls ?']"
Technical,"Does the protocol utilize proxy patterns, and are upgrade mechanisms secured and transparent?",,,"['Used the protocol proxy patterns and are upgrade mechanisms secured and transparent?', 'Does the protocol use proxy patterns and are upgrade mechanisms secure and transparent?', 'Does the protocol use such pattern patterns and are upgrading mechanisms secure and transparent?']"
Technical,Have there been flash loan or oracle exploits on this protocol or similar ones in the ecosystem?,,,"['Have there been flash, swap or acme exploits on this protocol or similar ones in the ecosystem?', 'Have there been any flash loan or oracle exploits on this protocol or similar ones in the ecosystem?', 'Have there been flash loan or oracle-exploits on this protocol or similar ones in the ecosystem?']"
Technical,Are contracts covered by formal verification or continuous security fuzzing?,,,"['Which contracts are covered by formal verification or continuous security fuzzing ?', 'If not, are contracts covered by formal verification or continuous security fuzzing ?', 'Are contracts covered by the formal verification or Continued Security Fuzzing ?']"
Legal and Compliance,"Are on-chain AML analytics tools (e.g., TRM Labs, Chainalysis) used for monitoring wallet behavior?",,,"['If so are on-chain AML analytics tools (e.g., TRM Labs, Chainalysis) used for monitoring wallet behavior?', 'Are AML-Analytics-tools (e.g., TRM Labs, Chainalysis) used for the monitoring of wallet behavior?', 'Is used on-chain analytics tools (e.g., TRM Labs, Chainalytics) for observing wallet behavior?']"
Legal and Compliance,Is there a process to screen for sanctioned wallets or high-risk counterparties?,,,"['Is there a process to examine sanctioned wallets or risky counterparties?', 'Is there a process to screen for sanctioned wallets or high-risk counterparties?', 'Is there a formal process to screen for sanctioned wallets or high risk counterparties?']"
Legal and Compliance,"Does the platform support privacy-preserving KYC (e.g., zero-knowledge proofs)?",,,"['Does the platform support privacy-preserving KYC (e.g., zero-knowledge proofs) ?', 'Supports the platform privacy-preserving KYC (e.g.:', 'Does the platform support privacy-preserving KYC (e.g., zero-knowledge proofs)']"
Legal and Compliance,Are AML/KYC policies aligned with FATF Travel Rule requirements?,,,"['Are AML/KYC policies aligned with FATF travel rule requirements and other ?', 'Q. Are AML/KYC policies in accordance with the FATF travel rule requirements?', 'Are AML/KYC policies aligned with the FATF Travel Rule requirements ?']"
Legal and Compliance,How often is staff trained on evolving AML compliance risks?,,,"['How often is staff trained on evolving AML compliance risk?', 'How often is the staff trained on emerging AML compliance risks?', 'How often is staff trained on the AML compliance security changes?']"
Financial,Are assets priced using time-weighted average from multiple exchanges?,,,"['Are assets priced using a time-weighted average of multiple exchanges?', 'Are assets priced using time-weighted averages from multiple exchanges?', 'Are assets valued using a time-weighted average from multiple exchanges ?']"
Financial,"How are illiquid assets valued, and who signs off on methodology?",,,"['How are illiquid assets valued and who signs off on the methodology?', 'How are liquid assets valued and who signs off on the methodology?', 'How are illiquid assets valued, and who signs off on methodological values?']"
Financial,Are wallet addresses independently verified by fund administrators?,,,"['Are wallet addresses independently verified by fund administrators ?', 'Are the wallet addresses independently verified by the fund administrators?', 'Are wallet addresses independently verified by the fund administrators?']"
Financial,"How frequently is the fund’s NAV calculated, and are there deviation logs for exceptions?",,,"['How frequently is the NAV calculated for the fund and is there an exception log for deviations?', 'How frequently is the new value of the fund calculated and are there deviation logs for exceptions?', 'How often is the NAV calculated in the fund and will there be deviation records for exceptions?']"
Legal and Compliance,Is there a roadmap for future compliance in new jurisdictions?,,,"['Is there a roadmap for future compliance in new jurisdictions ?', 'Is there a roadmap for future compliance in new jurisdictions?']"
Legal and Compliance,Have the terms of use or whitepaper been legally vetted for investor disclosures?,,,"['Have the uses terms or the whitepaper been legally validated for investor disclosures ?', 'Have the terms of use or whitepaper been legally vetted for investor disclosures?', 'Have the conditions of use or whitepaper been vetted legally for investor disclosures']"
Legal and Compliance,Is there a clear distinction between utility and investment functions of the token?,,,"['Is there a clear distinction between the utility and investment functions of the token?', 'Is there a clear distinction between utility and investment functions of the token ?', 'Is there a clear distinction in the token between usage and investment functions?']"
Legal and Compliance,Has the project implemented data privacy policies in line with GDPR or other laws?,,,"['Is the project implementing rules related to data privacy in line with GDPR or other laws?', 'Has the project implemented data privacy policies in line with GDPR or other laws?']"
Cybersecurity,What is the incident response time target for security breaches?,,,"['What is the time target for incident response to security breaches?', 'What is the response time target for security breaches ?', 'What is the date of the incident response for security breaches ?']"
Cybersecurity,Are there anomaly detection systems in place for network activity?,,,"['Are there anomaly detection systems in place for network activity?', 'Are anomaly detection systems set in place for network activity?']"
Cybersecurity,Has the protocol been subjected to red teaming or adversarial testing?,,,"['Has the protocol been subject to red teaming or adversarial testing?', 'Has the protocol been subjected to red team testing or adversarial testing?']"
Cybersecurity,What role do validators or miners play in protocol-level security checks?,,,"['What role do validators or miners play in protocol-level security checks?', 'What role play validators or miners in protocol-level security checks?']"
Cybersecurity,"Who is the digital asset custodian, and is it a third party or self-custody setup?",,,"['Who is the digital asset – custodian and is it a third party firm or self-custody ?', 'Who is the custodian of electronic assets e.g. is it a third party or self-custodian?', 'Who is the custodian of the digital asset and is it a third party or Self-detached setup?']"
Cybersecurity,"How are private keys stored—air-gapped, HSM, or MPC-based infrastructure?",,,"['How are private keys stored – via air-gated, HSM or MPC – ?', 'How are private keys stored -- air-gapped, HSM or MPC-based infrastructure', 'How are private keys stored—air-gapped, HSM or MPC-based infrastructure']"
Cybersecurity,Does the custodian offer verifiable proof-of-reserves?,,,"['Offers the custody a verifiable proof of reservation ?', 'Offers the custodian verifiable proof-of-reserves?', 'Offers the custodian verifiable proof of reserve?']"
Cybersecurity,"In cases of self-custody, what controls ensure exclusive access to private keys?",,,"['What controls ensure exclusive access to private keys in cases of self custody ?', ""What controls in self-trauma cases ', guarantee exclusive access to private keys ?"", 'What controls ensure obedient access to public keys in self - custody cases ?']"
Cybersecurity,Are wallet addresses segregated and attributable per investor?,,,"['Addresses of wallet are segregated and attributable per investor?', 'Are wallet addresses segregated and attributable per investor?', 'Are wallet addresses segregated and attributable to the investors?']"
Legal and Compliance,"Is the project aligned with MiCA, FATF, and national frameworks (e.g., SEC, CFTC, MAS)?",,,"['Is the project aligned with MiCA, FATF and national frameworks (e.g. SEC, CFTC, MAS)?', 'Is the Project aligned with MiCA, FATF and national frameworks (e.g., SEC, CFTC, MAS) ?', 'Does the project align with MiCA, FATF, and national frameworks (e.g.']"
Legal and Compliance,Are Travel Rule compliance mechanisms in place for transfers above set thresholds?,,,"['These compliance mechanisms are in place for transfers above the given thresholds .', 'Is there a mechanism in place for Travel Rule compliance for transfers above limit limits?', 'Travel rules compliance mechanisms are in place for transfers over specified thresholds ?']"
Legal and Compliance,"What sandbox programs (e.g., HKMA, EU DLT Pilot Regime) has the project participated in?",,,"['In what Sandbox Programs (e.g., HKMA, EU DLT Pilot Regime ) has participated the project?', 'What Sandbox programs (e.g. HKMA, EU DLT Pilot Regime) has participated the project ?', 'In what sandbox programs (e.g., HKMA, the EU DLT pilot program) has participated the project?']"
Legal and Compliance,How does the entity classify tokens under securities law across jurisdictions?,,,"['How does the entity categorize tokens under securities law across jurisdictions ?', 'How does the entity distinguish tokens across jurisdictions under securities law?', 'How does the entity classify tokens in securities law across jurisdictions ?']"
Legal and Compliance,Has the issuer published mandatory whitepapers as per MiCA or local equivalents?,,,"['Has the issuer published mandatory whitepapers based on MiCA or local equivalents ?', 'The issuer has issued mandatory whitepapers , as mandated by MiCA or other local equivalents ?', 'Has the E issuer published mandatory whitepapers as per MiCA or local equivalents ?']"
Reputational and Strategic,"Are the founders and executives publicly identifiable, and do they have any history of controversies or regulatory violations?",,,"['Are the founders and executives publicly identifiable, and do they have any history of controversies or regulatory violations?']"
Reputational and Strategic,"Is there a succession plan for key individuals, and how does the project mitigate key-person risk?",,,"['Is there a succession plan for key individuals, and how does the project mitigate key-person risk?']"
Reputational and Strategic,"Have there been any significant changes in the leadership team recently, and how were these communicated to stakeholders?",,,"['Have there been any significant changes in the leadership team recently, and how were these communicated to stakeholders?']"
Reputational and Strategic,"How is the entity structured legally (e.g., foundation, corporation, DAO), and is this structure transparent and adequately documented?",,,"['How is the entity structured legally (e.g., foundation, corporation, DAO), and is this structure transparent and adequately documented?']"
Reputational and Strategic,"Are there any outstanding legal disputes, regulatory investigations, or credible allegations against the team or the entity?",,,"['Do any any outstanding legal disputes, regulatory investigations, or credible allegations against the team or the entity?']"
Reputational and Strategic,How does the project handle accountability and public communication if a senior member is implicated in misconduct?,,,['In what way does the project handle accountability and public communication if a senior member is implicated in misconduct?']
Reputational and Strategic,"Is there a publicly available ESG report or sustainability roadmap, and what metrics are used to track performance?",,,"['Is there a publicly available ESG report or sustainability roadmap, and what metrics are used to track performance?']"
Reputational and Strategic,"How does the consensus mechanism (e.g., Proof-of-Work, Proof-of-Stake) impact the project's overall environmental footprint?",,,"[""In what way does the consensus mechanism (e.g., Proof-of-Work, Proof-of-Stake) impact the project's overall environmental footprint?""]"
Reputational and Strategic,"What community or social initiatives does the project support or participate in, and how are they funded?",,,"['What community or social initiatives does the project support or participate in, and how are they funded?']"
Reputational and Strategic,"Have any known ESG concerns been identified, and how is the team working to address or mitigate them?",,,"['Have any known ESG concerns been identified, and how is the team working to address or mitigate them?']"
Reputational and Strategic,Does the project have policies ensuring fair labour practices and diversity among its team and validators/miners (if applicable)?,,,['Is the project have policies ensuring fair labour practices and diversity among its team and validators/miners (if applicable)?']
Reputational and Strategic,Are there governance mechanisms to allow stakeholder input into environmental or social impact decisions?,,,['Do any governance mechanisms to allow stakeholder input into environmental or social impact decisions?']
Reputational and Strategic,How does the project integrate ESG considerations into its long-term strategic planning and reporting?,,,['In what way does the project integrate ESG considerations into its long-term strategic planning and reporting?']
Legal and Compliance,Has the token or digital asset been evaluated under the Howey Test (or comparable local standard) to determine if it is a security?,,,['Has the token or digital asset been evaluated under the Howey Test (or comparable local standard) to determine if it is a security?']
Legal and Compliance,Are there legal opinions or memoranda publicly available that clarify the asset's classification under securities laws?,,,"[""Do any legal opinions or memoranda publicly available that clarify the asset's classification under securities laws?""]"
Legal and Compliance,Has the project conducted any token sales or offerings that could be subject to retrospective regulatory scrutiny?,,,['Has the project conducted any token sales or offerings that could be subject to retrospective regulatory scrutiny?']
Legal and Compliance,"Does the project comply with disclosures, filings, or registrations required in any jurisdictions where it operates?",,,"['Is the project comply with disclosures, filings, or registrations required in any jurisdictions where it operates?']"
Legal and Compliance,"If the token is used for fundraising, were proper exemptions (Reg D, Reg S, etc.) or equivalent utilized, and is ongoing compliance maintained?",,,"['If the token is used for fundraising, were proper exemptions (Reg D, Reg S, etc.) or equivalent utilized, and is ongoing compliance maintained?']"
Legal and Compliance,"Which jurisdictions currently restrict or forbid the trading of this token, and how does the project handle users from those regions?",,,"['Which jurisdictions currently restrict or forbid the trading of this token, and how does the project handle users from those regions?']"
Legal and Compliance,"Are there or have there been any class-action lawsuits, SEC investigations, or regulatory enforcement actions involving the token?",,,"['Do any or have there been any class-action lawsuits, SEC investigations, or regulatory enforcement actions involving the token?']"
Legal and Compliance,How does the project anticipate and adapt to evolving securities laws across different countries?,,,['In what way does the project anticipate and adapt to evolving securities laws across different countries?']
Legal and Compliance,"Which specific AML/KYC frameworks does the project adhere to, and are they aligned with FATF recommendations or local regulations?",,,"['Which specific AML/KYC frameworks does the project adhere to, and are they aligned with FATF recommendations or local regulations?']"
Legal and Compliance,"Does the project have dedicated compliance officers, and are they experienced in digital asset regulations?",,,"['Is the project have dedicated compliance officers, and are they experienced in digital asset regulations?']"
Legal and Compliance,How does the project ensure ongoing compliance with sanctions regimes or restricted jurisdictions?,,,['In what way does the project ensure ongoing compliance with sanctions regimes or restricted jurisdictions?']
Legal and Compliance,Are there defined processes for suspicious activity reporting and transaction monitoring on-chain?,,,['Do any defined processes for suspicious activity reporting and transaction monitoring on-chain?']
Legal and Compliance,How does the project manage data protection obligations such as GDPR or other privacy laws?,,,['In what way does the project manage data protection obligations such as GDPR or other privacy laws?']
Legal and Compliance,"If the platform provides exchange or custodial services, is it registered or licensed with relevant financial authorities?",,,"['If the platform provides exchange or custodial services, is it registered or licensed with relevant financial authorities?']"
Legal and Compliance,"Does the project have a formal code of conduct or compliance handbook, and are staff regularly trained on it?",,,"['Is the project have a formal code of conduct or compliance handbook, and are staff regularly trained on it?']"
Legal and Compliance,How do governance token holders or the foundation (if applicable) handle compliance oversight?,,,['How do governance token holders or the foundation (if applicable) handle compliance oversight?']
Legal and Compliance,"Has the project historically been connected to any money laundering, terrorist financing, or hacking incidents?",,,"['Has the project historically been connected to any money laundering, terrorist financing, or hacking incidents?']"
Legal and Compliance,What thresholds or alerts trigger enhanced due diligence for large or suspicious transactions?,,,['What thresholds or alerts trigger enhanced due diligence for large or suspicious transactions?']
Legal and Compliance,How does the project mitigate the risk of privacy-enhancing features (like mixers or tumblers) being used maliciously?,,,['In what way does the project mitigate the risk of privacy-enhancing features (like mixers or tumblers) being used maliciously?']
Legal and Compliance,"Are addresses or entities identified on sanctions lists (e.g., OFAC, EU sanctions) proactively blocked or flagged?",,,"['Are addresses or entities identified on sanctions lists (e.g., OFAC, EU sanctions) proactively blocked or flagged?']"
Legal and Compliance,Does the project collaborate with law enforcement agencies or industry consortia to share threat intelligence?,,,['Is the project collaborate with law enforcement agencies or industry consortia to share threat intelligence?']
Legal and Compliance,Are there protocols to freeze assets or halt transactions in the event of a security breach or regulatory directive?,,,['Do any protocols to freeze assets or halt transactions in the event of a security breach or regulatory directive?']
Legal and Compliance,What measures are in place to address potential black market or dark web usage of the token or platform?,,,['What measures are in place to address potential black market or dark web usage of the token or platform?']
Cybersecurity,"Is there a clear framework for cybersecurity governance, and who is accountable at an executive level?",,,"['Is there a clear framework for cybersecurity governance, and who is accountable at an executive level?']"
