question,category,severity,data_accessibility,category_risk,strategic_impact,risk_score,error,raw_output
How does the project ensure ongoing compliance with sanctions regimes or restricted jurisdictions?,Legal and Compliance,6.0,4.0,5.0,3.0,3.29,,
Are there defined processes for suspicious activity reporting and transaction monitoring on-chain?,Legal and Compliance,7.0,8.0,9.0,6.0,4.93,,
How does the project manage data protection obligations such as GDPR or other privacy laws?,Legal and Compliance,4.0,3.0,2.0,1.0,1.5,,
"If the platform provides exchange or custodial services, is it registered or licensed with relevant financial authorities?",Legal and Compliance,8.0,6.0,7.0,9.0,6.14,,
"Does the project have a formal code of conduct or compliance handbook, and are staff regularly trained on it?",Legal and Compliance,6.0,4.0,5.0,3.0,3.29,,
How do governance token holders or the foundation (if applicable) handle compliance oversight?,Legal and Compliance,7.0,5.0,8.0,6.0,5.14,,
"Has the project historically been connected to any money laundering, terrorist financing, or hacking incidents?",Legal and Compliance,6.0,3.0,5.0,4.0,3.79,,
What thresholds or alerts trigger enhanced due diligence for large or suspicious transactions?,Legal and Compliance,8.0,6.0,9.0,7.0,5.86,,
How does the project mitigate the risk of privacy-enhancing features (like mixers or tumblers) being used maliciously?,Legal and Compliance,4.0,3.0,2.0,5.0,2.93,,
"Are addresses or entities identified on sanctions lists (e.g., OFAC, EU sanctions) proactively blocked or flagged?",Legal and Compliance,6.0,4.0,5.0,3.0,3.29,,
Does the project collaborate with law enforcement agencies or industry consortia to share threat intelligence?,Legal and Compliance,2.0,1.0,3.0,4.0,2.5,,
Are there protocols to freeze assets or halt transactions in the event of a security breach or regulatory directive?,Legal and Compliance,8.0,5.0,7.0,9.0,6.29,,
What measures are in place to address potential black market or dark web usage of the token or platform?,Legal and Compliance,7.0,6.0,8.0,5.0,4.64,,
"Is there a clear framework for cybersecurity governance, and who is accountable at an executive level?",Cybersecurity,7.0,5.0,6.0,8.0,5.43,,
"Does the project conduct periodic penetration tests or red-team exercises, and are results used to improve security posture?",Cybersecurity,8.0,6.0,7.0,9.0,6.14,,
Which hardware security modules (HSMs) or other secure key management systems are used for private key custody?,Cybersecurity,2.0,3.0,1.0,4.0,1.79,,
"Are bug bounty programs in place to incentivize ethical hacking, and how does the team respond to reported vulnerabilities?",Cybersecurity,4.0,5.0,3.0,2.0,1.79,,
"What is the process for managing zero-day exploits or critical vulnerabilities (e.g. crisis response teams, hotfix protocols)?",Cybersecurity,8.0,6.0,9.0,7.0,5.86,,
"Is multi-factor authentication (MFA) mandatory for all administrators, developers, and high-privilege accounts?",Cybersecurity,8.0,6.0,7.0,9.0,6.14,,
"How is physical security addressed in data centres, hardware wallets, or any colocation facilities?",Cybersecurity,6.0,5.0,7.0,4.0,3.93,,
"Does the project follow any well-known security frameworks (ISO 27001, NIST Cybersecurity Framework, etc.) for best practices?",Cybersecurity,7.0,8.0,5.0,9.0,5.14,,
"Which audit firms or reputable third-party organizations have been engaged, and what was the scope of each audit?",Auditability,2.0,1.0,3.0,1.0,1.43,,
Does the project publicly share cryptographic proof of reserves or on-chain attestations for asset ownership?,Auditability,8.0,6.0,5.0,9.0,5.71,,
"How are compliance audits (like SOC 1/2 or ISAE 3402) handled, and are their results disclosed to stakeholders?",Auditability,6.0,5.0,7.0,4.0,3.93,,
Are transaction histories and logs easily accessible and verifiable on-chain for transparency?,Auditability,2.0,8.0,4.0,6.0,2.43,,
"Are token holders or governing bodies empowered to request or approve special audits (e.g., for treasury activities)?",Auditability,4.0,3.0,5.0,2.0,2.5,,
"In cases of asset tokenization, how does the project legally ensure that on-chain ownership matches real-world rights?",Auditability,5.0,3.0,4.0,2.0,2.57,,
"How frequently is environmental, social and governance (esg) evaluated or updated, and by whom?",Auditability,3.0,2.0,1.0,4.0,2.21,,
What are the biggest risks currently facing the project's strategic partnerships practices?,Cybersecurity,7.0,5.0,6.0,8.0,5.43,,
How does the project benchmark its media and community perception performance against industry standards?,Legal and Compliance,2.5,4.8,3.1,1.9,1.37,,
"Is there independent oversight or review over the network design process? If so, by which entities?",Legal and Compliance,6.0,5.0,4.0,3.0,2.93,,
What tools or frameworks does the team use to manage smart contract risk effectively?,Legal and Compliance,8.0,9.0,6.0,7.0,4.79,,
Have there been any reported issues or audits related to upgrades and maintenance in the past 12 months?,Auditability,2.0,1.0,1.0,3.0,1.71,,
How does the team prioritize improvements and risk mitigation for protocol scalability?,Auditability,4.0,3.0,5.0,2.0,2.5,,
"How frequently is treasury management evaluated or updated, and by whom?",Cybersecurity,2.0,1.0,3.0,4.0,2.5,,
"How frequently is disaster recovery evaluated or updated, and by whom?",Cybersecurity,3.0,2.0,4.0,1.0,1.79,,
"How frequently is strategic partnerships evaluated or updated, and by whom?",Reputational and Strategic,2.0,1.0,3.0,4.0,2.5,,
"How frequently is media and community perception evaluated or updated, and by whom?",Reputational and Strategic,2.0,1.0,3.0,4.0,2.5,,
"How frequently is threat intelligence evaluated or updated, and by whom?",Cybersecurity,3.0,2.0,1.0,4.0,2.21,,
"How frequently is securities analysis evaluated or updated, and by whom?",Legal and Compliance,6.0,8.0,5.0,4.0,3.07,,
What are the biggest risks currently facing the project's licensing and jurisdiction practices?,Legal and Compliance,7.0,5.0,9.0,8.0,6.07,,
"How frequently is licensing and jurisdiction evaluated or updated, and by whom?",Legal and Compliance,7.0,5.0,8.0,9.0,6.21,,
"How frequently is proof-of-reserves evaluated or updated, and by whom?",Auditability,2.5,1.0,4.0,3.0,2.5,,
What are the biggest risks currently facing the project's on-chain traceability practices?,Auditability,7.0,5.0,8.0,6.0,5.14,,
"How frequently is regulatory reporting evaluated or updated, and by whom?",Legal and Compliance,7.0,8.0,6.0,5.0,3.93,,
How does the project benchmark its governance and operational security performance against industry standards?,Cybersecurity,7.0,8.0,6.0,9.0,5.36,,
"How frequently is on-chain traceability evaluated or updated, and by whom?",Auditability,2.0,1.0,3.0,4.0,2.5,,
What are the biggest risks currently facing the project's governance and operational security practices?,Cybersecurity,60.0,40.0,20.0,80.0,44.29,,
